Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1955,    12, 0.47351204, 5.07620678, 0.65519686, 26.7310880,  3.0041000, 35.9401037,  -102.7076 
1956,     1, 0.35238757, 5.03141328, 0.66024432, 26.7360753,  3.0041000, 35.7842205,  -103.0945 
1956,     2, 0.32756482, 5.02039966, 0.66097725, 26.7367577,  3.0041000, 35.7497995,  -103.1870 
1956,     3, 0.20156416, 4.94779586, 0.66247803, 26.7370394,  3.0041000, 35.5529775,  -103.6695 
1956,     4, 0.13096790, 4.88420990, 0.65990276, 26.7327889,  3.0041000, 35.4119694,  -104.0143 
1956,     5, 0.11408185, 4.86402581, 0.65851092, 26.7308013,  3.0041000, 35.3715199,  -104.1192 
1956,     6, 0.09802111, 4.84193508, 0.65675970, 26.7283377,  3.0041000, 35.3291536,  -104.2283 
1956,     7, 0.05953766, 4.77005215, 0.64991270, 26.7186179,  3.0041000, 35.2022205,  -104.5347 
1956,     8, 0.02597489, 4.65281715, 0.63620798, 26.6988864,  3.0041000, 35.0179864,  -104.9714 
1956,     9, 0.01086439, 4.53272666, 0.62042695, 26.6756104,  3.0041000, 34.8437284,  -105.3834 
1956,    10, 0.00676577, 4.46877911, 0.61156872, 26.6623700,  3.0041000, 34.7535836,  -105.6014 
1956,    11, 1.53832771, 5.49829840, 0.60661602, 26.6548878,  3.0041000, 37.3022300,   -97.3174 
1956,    12, 0.98375728, 5.42504667, 0.64992719, 26.7026139,  3.0041000, 36.7654451,   -98.8768 
1957,     1, 0.63962072, 5.35543207, 0.67315005, 26.7282673,  3.0041000, 36.4005702,   -99.9414 
1957,     2, 0.40355242, 5.28194456, 0.68526226, 26.7415363,  3.0041000, 36.1163955,  -100.7634 
1957,     3, 0.17880938, 5.15452379, 0.68871482, 26.7441668,  3.0041000, 35.7703148,  -101.7322 
1957,     4, 0.16378354, 5.14096855, 0.68812911, 26.7434548,  3.0041000, 35.7404360,  -101.8219 
1957,     5, 0.14675788, 5.12406797, 0.68723856, 26.7423700,  3.0041000, 35.7045344,  -101.9272 
1957,     6, 0.12089334, 5.09435154, 0.68530220, 26.7399869,  3.0041000, 35.6446340,  -102.0952 
1957,     7, 0.09691095, 5.06067008, 0.68260576, 26.7366540,  3.0041000, 35.5809408,  -102.2712 
1957,     8, 1.11553152, 5.69670495, 0.67201187, 26.7229900,  3.0041000, 37.2113383,   -94.0978 
1957,     9, 0.31502181, 5.48465722, 0.72146248, 26.7767093,  3.0041000, 36.3019508,   -97.6600 
1957,    10, 0.11326807, 5.31890821, 0.71710349, 26.7721588,  3.0041000, 35.9255386,   -98.9591 
1957,    11, 0.06878384, 5.23991044, 0.70967150, 26.7640018,  3.0041000, 35.7864676,   -99.3973 
1957,    12, 0.04963943, 5.18888536, 0.70391288, 26.7575307,  3.0041000, 35.7040684,   -99.6492 
1958,     1, 0.03689260, 5.14289252, 0.69829784, 26.7510899,  3.0041000, 35.6332729,   -99.8610 
1958,     2, 0.02465292, 5.08107171, 0.69034142, 26.7417130,  3.0041000, 35.5418791,  -100.1251 
1958,     3, 0.01818778, 5.03492105, 0.68414374, 26.7342812,  3.0041000, 35.4756338,  -100.3154 
1958,     4, 0.01082277, 4.95711987, 0.67348199, 26.7210736,  3.0041000, 35.3665983,  -100.6180 
1958,     5, 0.00948017, 4.93746185, 0.67071104, 26.7176245,  3.0041000, 35.3393775,  -100.6999 
1958,     6, 0.00400241, 4.81137188, 0.65315826, 26.6945401,  3.0041000, 35.1671726,  -101.1651 
1958,     7, 0.00266602, 4.75308073, 0.64485422, 26.6833965,  3.0041000, 35.0880974,  -101.3829 
1958,     8, 0.00217488, 4.72413518, 0.64070016, 26.6777609,  3.0041000, 35.0488711,  -101.4956 
1958,     9, 0.77626332, 5.13082993, 0.62225690, 26.6512264,  3.0041000, 36.1846766,   -92.8273 
1958,    10, 0.29320356, 4.98313238, 0.64921763, 26.6764933,  3.0041000, 35.6061469,   -95.9783 
1958,    11, 0.17868413, 4.90964315, 0.64976764, 26.6752375,  3.0041000, 35.4174324,   -96.8938 
1958,    12, 0.12380907, 4.85590209, 0.64731173, 26.6710364,  3.0041000, 35.3021593,   -97.4115 
1959,     1, 0.11241184, 4.84185422, 0.64635985, 26.6695960,  3.0041000, 35.2743219,   -97.5380 
1959,     2, 0.09328013, 4.81483070, 0.64427949, 26.6664902,  3.0041000, 35.2229805,   -97.7576 
1959,     3, 0.06578925, 4.76466089, 0.63970651, 26.6597367,  3.0041000, 35.1339933,   -98.1139 
